abstention_policy,normalization_mode,aggregation_mode,vote_threshold,abstain_threshold,n_cases,n_abstained,abstention_rate,n_strict_asr_success,strict_asr_rate,n_correct_answer_match,correct_answer_match_rate
discard_abstentions,squad,exact,0.0,0.0,9,2,0.2222222222222222,4,0.4444444444444444,2,0.2222222222222222
discard_abstentions,squad,exact,0.0,0.2,9,2,0.2222222222222222,4,0.4444444444444444,2,0.2222222222222222
discard_abstentions,squad,exact,0.5,0.0,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
discard_abstentions,squad,exact,0.5,0.2,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
discard_abstentions,squad,exact,0.6,0.0,9,8,0.8888888888888888,1,0.1111111111111111,0,0.0
discard_abstentions,squad,exact,0.6,0.2,9,8,0.8888888888888888,1,0.1111111111111111,0,0.0
discard_abstentions,squad,exact,0.7,0.0,9,8,0.8888888888888888,1,0.1111111111111111,0,0.0
discard_abstentions,squad,exact,0.7,0.2,9,8,0.8888888888888888,1,0.1111111111111111,0,0.0
discard_abstentions,squad,keyword,0.0,0.0,9,2,0.2222222222222222,3,0.3333333333333333,3,0.3333333333333333
discard_abstentions,squad,keyword,0.0,0.2,9,2,0.2222222222222222,3,0.3333333333333333,3,0.3333333333333333
discard_abstentions,squad,keyword,0.5,0.0,9,3,0.3333333333333333,3,0.3333333333333333,2,0.2222222222222222
discard_abstentions,squad,keyword,0.5,0.2,9,3,0.3333333333333333,3,0.3333333333333333,2,0.2222222222222222
discard_abstentions,squad,keyword,0.6,0.0,9,5,0.5555555555555556,3,0.3333333333333333,1,0.1111111111111111
discard_abstentions,squad,keyword,0.6,0.2,9,5,0.5555555555555556,3,0.3333333333333333,1,0.1111111111111111
discard_abstentions,squad,keyword,0.7,0.0,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
discard_abstentions,squad,keyword,0.7,0.2,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
discard_abstentions,token,exact,0.0,0.0,9,2,0.2222222222222222,5,0.5555555555555556,2,0.2222222222222222
discard_abstentions,token,exact,0.0,0.2,9,2,0.2222222222222222,5,0.5555555555555556,2,0.2222222222222222
discard_abstentions,token,exact,0.5,0.0,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
discard_abstentions,token,exact,0.5,0.2,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
discard_abstentions,token,exact,0.6,0.0,9,8,0.8888888888888888,1,0.1111111111111111,0,0.0
discard_abstentions,token,exact,0.6,0.2,9,8,0.8888888888888888,1,0.1111111111111111,0,0.0
discard_abstentions,token,exact,0.7,0.0,9,8,0.8888888888888888,1,0.1111111111111111,0,0.0
discard_abstentions,token,exact,0.7,0.2,9,8,0.8888888888888888,1,0.1111111111111111,0,0.0
discard_abstentions,token,keyword,0.0,0.0,9,2,0.2222222222222222,4,0.4444444444444444,3,0.3333333333333333
discard_abstentions,token,keyword,0.0,0.2,9,2,0.2222222222222222,4,0.4444444444444444,3,0.3333333333333333
discard_abstentions,token,keyword,0.5,0.0,9,3,0.3333333333333333,4,0.4444444444444444,2,0.2222222222222222
discard_abstentions,token,keyword,0.5,0.2,9,3,0.3333333333333333,4,0.4444444444444444,2,0.2222222222222222
discard_abstentions,token,keyword,0.6,0.0,9,5,0.5555555555555556,3,0.3333333333333333,1,0.1111111111111111
discard_abstentions,token,keyword,0.6,0.2,9,5,0.5555555555555556,3,0.3333333333333333,1,0.1111111111111111
discard_abstentions,token,keyword,0.7,0.0,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
discard_abstentions,token,keyword,0.7,0.2,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,squad,exact,0.0,0.0,9,2,0.2222222222222222,4,0.4444444444444444,2,0.2222222222222222
include_abstentions,squad,exact,0.0,0.2,9,2,0.2222222222222222,4,0.4444444444444444,2,0.2222222222222222
include_abstentions,squad,exact,0.5,0.0,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,squad,exact,0.5,0.2,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,squad,exact,0.6,0.0,9,9,1.0,0,0.0,0,0.0
include_abstentions,squad,exact,0.6,0.2,9,9,1.0,0,0.0,0,0.0
include_abstentions,squad,exact,0.7,0.0,9,9,1.0,0,0.0,0,0.0
include_abstentions,squad,exact,0.7,0.2,9,9,1.0,0,0.0,0,0.0
include_abstentions,squad,keyword,0.0,0.0,9,2,0.2222222222222222,3,0.3333333333333333,3,0.3333333333333333
include_abstentions,squad,keyword,0.0,0.2,9,2,0.2222222222222222,3,0.3333333333333333,3,0.3333333333333333
include_abstentions,squad,keyword,0.5,0.0,9,4,0.4444444444444444,3,0.3333333333333333,2,0.2222222222222222
include_abstentions,squad,keyword,0.5,0.2,9,4,0.4444444444444444,3,0.3333333333333333,2,0.2222222222222222
include_abstentions,squad,keyword,0.6,0.0,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,squad,keyword,0.6,0.2,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,squad,keyword,0.7,0.0,9,7,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111
include_abstentions,squad,keyword,0.7,0.2,9,7,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111
include_abstentions,token,exact,0.0,0.0,9,2,0.2222222222222222,5,0.5555555555555556,2,0.2222222222222222
include_abstentions,token,exact,0.0,0.2,9,2,0.2222222222222222,5,0.5555555555555556,2,0.2222222222222222
include_abstentions,token,exact,0.5,0.0,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,token,exact,0.5,0.2,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,token,exact,0.6,0.0,9,9,1.0,0,0.0,0,0.0
include_abstentions,token,exact,0.6,0.2,9,9,1.0,0,0.0,0,0.0
include_abstentions,token,exact,0.7,0.0,9,9,1.0,0,0.0,0,0.0
include_abstentions,token,exact,0.7,0.2,9,9,1.0,0,0.0,0,0.0
include_abstentions,token,keyword,0.0,0.0,9,2,0.2222222222222222,4,0.4444444444444444,3,0.3333333333333333
include_abstentions,token,keyword,0.0,0.2,9,2,0.2222222222222222,4,0.4444444444444444,3,0.3333333333333333
include_abstentions,token,keyword,0.5,0.0,9,4,0.4444444444444444,3,0.3333333333333333,2,0.2222222222222222
include_abstentions,token,keyword,0.5,0.2,9,4,0.4444444444444444,3,0.3333333333333333,2,0.2222222222222222
include_abstentions,token,keyword,0.6,0.0,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,token,keyword,0.6,0.2,9,6,0.6666666666666666,2,0.2222222222222222,1,0.1111111111111111
include_abstentions,token,keyword,0.7,0.0,9,7,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111
include_abstentions,token,keyword,0.7,0.2,9,7,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111
