query_id,context_type,abstention_policy,abstain_threshold,vote_threshold,normalization_mode,aggregation_mode,tie_breaker,group_size,final_answer,abstained,winning_normalized_answer,winning_vote_count,winning_vote_share,vote_margin,denominator,n_groups,n_abstentions,abstention_rate,wrong_answer_vote_share,correct_answer_vote_share,strict_asr_success,correct_answer_match,vote_counts
5a8e068b5542995085b37384,mutated,discard_abstentions,0.0,0.5,squad,exact,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.0,0.5,squad,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.0,0.5,token,exact,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.0,0.5,token,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.5,0.5,squad,exact,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.5,0.5,squad,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.5,0.5,token,exact,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.5,0.5,token,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.6,0.5,squad,exact,abstain,1,I don't know,True,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.6,0.5,squad,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.6,0.5,token,exact,abstain,1,I don't know,True,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.6,0.5,token,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.7,0.5,squad,exact,abstain,1,I don't know,True,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.7,0.5,squad,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.7,0.5,token,exact,abstain,1,I don't know,True,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,discard_abstentions,0.7,0.5,token,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.0,0.5,squad,exact,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.0,0.5,squad,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.0,0.5,token,exact,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.0,0.5,token,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.5,0.5,squad,exact,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.5,0.5,squad,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.5,0.5,token,exact,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.5,0.5,token,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.6,0.5,squad,exact,abstain,1,I don't know,True,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.6,0.5,squad,keyword,abstain,1,yes ferocactus and silene are both types of plants,False,yes ferocactus and silene are both types of plants,8,0.8,0.6,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 8, ""no"": 2}"
5a8e068b5542995085b37384,mutated,include_abstentions,0.6,0.5,token,exact,abstain,1,I don't know,True,yes ferocactus and silene are both types of plants,5,0.5,0.2,10,10,0,0.0,0.2,0.8,False,False,"{""yes ferocactus and silene are both types of plants"": 5, ""yes"": 3, ""no"": 2}"
