query_id,k,family,bundle_id,intended_target_defense,delta_ragdefender_mean_pp_cosine,delta_ragdefender_mean_pc_cosine,delta_ragdefender_mean_cc_cosine,delta_ragdefender_top_pair_pp,delta_ragdefender_top_pair_pc,delta_ragdefender_top_pair_cc,delta_ragdefender_removed_poison,delta_ragdefender_removed_clean,delta_ragdefender_residual_poison_fraction,delta_ragdefender_n_adv_estimated,delta_filterrag_removed_poison,delta_filterrag_removed_clean,delta_filterrag_residual_poison_fraction,delta_filterrag_mean_freq_density_poison,delta_filterrag_mean_matched_freq_sum_poison,delta_ml_mean_poison_probability,delta_ml_mean_freq_density_poison,delta_ml_mean_matched_freq_sum_poison,delta_ml_mean_perplexity_poison,delta_ml_mean_slm_answer_logprob_poison,delta_ml_removed_poison_t035,delta_ml_removed_clean_t035,delta_ml_residual_poison_fraction_t035,delta_ml_removed_poison_t04,delta_ml_removed_clean_t04,delta_ml_residual_poison_fraction_t04,delta_ml_removed_poison_t05,delta_ml_removed_clean_t05,delta_ml_residual_poison_fraction_t05,delta_removed_poison,delta_removed_clean,delta_residual_poison_fraction,delta_top_pair_pp,delta_mean_poison_probability,delta_freq_density,delta_matched_freq_sum
5a7759fc5542993569682d60,10,ragdefender_targeted,ragdefender_targeted,ragdefender,-0.1204098701477051,0.010913262963295034,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.7567141192141194,,-0.2660000000000001,-0.7567141192141194,-15.799999999999999,88.13172389361509,7.049406123161316,0,0,0.0,-1,0,0.2,-2,0,0.4,-1,0,0.2,0,-0.2660000000000001,-0.7567141192141194,
5a7759fc5542993569682d60,10,filterrag_targeted,filterrag_targeted,filterrag,-0.11874127984046934,0.016635681986808815,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.5944503566499567,,-0.3620000000000001,-0.5944503566499567,-7.0,181.30316717351232,3.352984988689422,0,0,0.0,-1,0,0.2,-2,0,0.4,-1,0,0.2,0,-0.3620000000000001,-0.5944503566499567,
5a7759fc5542993569682d60,10,mlfilterrag_targeted,mlfilterrag_targeted,ml_filterrag,-0.09769846796989445,0.006422852873802232,0.0,4,0,0,1,0,-0.2,1,0,0,0.0,-0.7721896887770081,,-0.20800000000000018,-0.7721896887770081,-18.4,75.41119272235531,7.689080172404647,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,-0.20800000000000018,-0.7721896887770081,
5a8133725542995ce29dcbdb,10,ragdefender_targeted,ragdefender_targeted,ragdefender,-0.09479385018348685,-0.035446117321650206,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.4070431310175894,,-0.28400000000000003,-0.4070431310175894,-8.399999999999999,64.85771792295502,-0.31232089325785634,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.28400000000000003,-0.4070431310175894,
5a8133725542995ce29dcbdb,10,filterrag_targeted,filterrag_targeted,filterrag,-0.07153283357620233,0.0008660137653350719,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.5686118580329906,,-0.356,-0.5686118580329906,-11.399999999999999,127.41264274352791,-0.1230670541524887,-1,0,0.2,-1,0,0.2,-1,0,0.2,-1,0,0.2,0,-0.356,-0.5686118580329906,
5a8133725542995ce29dcbdb,10,mlfilterrag_targeted,mlfilterrag_targeted,ml_filterrag,-0.0923286855220794,-0.028308266401290916,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.4695662670662672,,-0.346,-0.4695662670662672,-12.599999999999998,116.31329831449655,-0.02147831618785856,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.346,-0.4695662670662672,
5a8e068b5542995085b37384,10,ragdefender_targeted,ragdefender_targeted,ragdefender,-0.16577720642089844,-0.024890953674912453,0.0,0,0,0,0,0,0.0,0,-1,0,0.2,-0.4921898629296469,,-0.15200000000000002,-0.4921898629296469,-13.4,109.60677995282647,1.5474830389022827,-1,0,0.2,-1,0,0.2,-1,0,0.2,-1,0,0.2,0,-0.15200000000000002,-0.4921898629296469,
5a8e068b5542995085b37384,10,filterrag_targeted,filterrag_targeted,filterrag,-0.14253579378128056,0.022983416914939853,0.0,0,0,0,0,0,0.0,0,-4,0,0.8,-0.5765352079100078,,-0.39000000000000007,-0.5765352079100078,-15.0,141.48611787432515,1.4024680405855179,-4,0,0.8,-4,0,0.8,-3,0,0.6000000000000001,-4,0,0.8,0,-0.39000000000000007,-0.5765352079100078,
5a8e068b5542995085b37384,10,mlfilterrag_targeted,mlfilterrag_targeted,ml_filterrag,-0.16045128107070927,0.006489348039031034,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.4317807562402046,,0.0119999999999999,-0.4317807562402046,-13.0,104.98772971931938,1.4366125375032426,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0119999999999999,-0.4317807562402046,
5aba749055429901930fa7d8,10,ragdefender_targeted,ragdefender_targeted,ragdefender,-0.158677887916565,-0.021269228011369712,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.2903279914575231,,-0.19599999999999995,-0.2903279914575231,-7.600000000000001,58.53226810064402,0.2455269992351532,-1,0,0.2,-1,0,0.2,-2,0,0.4,-1,0,0.2,0,-0.19599999999999995,-0.2903279914575231,
5aba749055429901930fa7d8,10,filterrag_targeted,filterrag_targeted,filterrag,-0.18783398866653445,-0.06071524424478414,0.0,0,0,0,0,0,0.0,0,-3,0,0.6,-0.3704767947226452,,-0.3,-0.3704767947226452,-8.600000000000001,103.95497824523557,0.4306469231843949,-2,0,0.4,-2,0,0.4,-3,0,0.6,-2,0,0.4,0,-0.3,-0.3704767947226452,
5aba749055429901930fa7d8,10,mlfilterrag_targeted,mlfilterrag_targeted,ml_filterrag,-0.09677085280418396,-0.03365175522863867,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.25644070683182774,,-0.061999999999999944,-0.25644070683182774,-8.000000000000002,91.9842652963523,0.511755731701851,0,0,0.0,0,0,0.0,-1,0,0.2,0,0,0.0,0,-0.061999999999999944,-0.25644070683182774,
5ae224da554299234fd043ee,10,ragdefender_targeted,ragdefender_targeted,ragdefender,-0.22305126786232,0.08615244686603546,0.0,-1,1,0,0,0,0.0,0,0,0,0.0,-0.6694432157278536,,-0.246,-0.6694432157278536,-14.200000000000001,126.07637268595377,1.1899946548044682,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,-1,-0.246,-0.6694432157278536,
5ae224da554299234fd043ee,10,filterrag_targeted,filterrag_targeted,filterrag,-0.1825916826725006,0.06603765070438383,0.0,0,5,0,0,1,0.0,1,0,0,0.0,-0.8348356810930404,,-0.756,-0.8348356810930404,-19.6,327.3209825352318,1.2079289175570012,-5,0,1.0,-5,0,1.0,-5,0,1.0,-5,0,1.0,0,-0.756,-0.8348356810930404,
5ae224da554299234fd043ee,10,mlfilterrag_targeted,mlfilterrag_targeted,ml_filterrag,-0.1473684310913086,0.09134129583835598,0.0,-1,1,0,0,0,0.0,0,0,0,0.0,-0.7310572629628892,,-0.3799999999999999,-0.7310572629628892,-16.200000000000003,165.63332142868674,1.4090394593775273,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,-1,-0.3799999999999999,-0.7310572629628892,
5ae22b8d554299234fd0440f,10,ragdefender_targeted,ragdefender_targeted,ragdefender,-0.11157194972038265,0.04987232565879823,0.0,0,5,1,0,1,0.0,1,0,0,0.0,-0.717195879164674,,-0.32600000000000007,-0.717195879164674,-14.999999999999998,38.3184309774158,0.315846624225378,-1,0,0.2,-1,0,0.2,-1,0,0.2,-1,0,0.2,0,-0.32600000000000007,-0.717195879164674,
5ae22b8d554299234fd0440f,10,filterrag_targeted,filterrag_targeted,filterrag,-0.14363541007041924,0.03193624079227447,0.0,-7,-4,-1,-2,-1,0.4,-3,0,0,0.0,-0.7674677170760925,,-0.46399999999999997,-0.7674677170760925,-12.799999999999997,119.30805237985392,0.2983702510595322,0,0,0.0,0,0,0.0,-1,0,0.2,0,0,0.0,-7,-0.46399999999999997,-0.7674677170760925,
5ae22b8d554299234fd0440f,10,mlfilterrag_targeted,mlfilterrag_targeted,ml_filterrag,-0.09492124915122979,0.03582792818546299,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.7070435585374734,,-0.246,-0.7070435585374734,-15.799999999999999,41.06063836658356,0.45424610152840617,-1,0,0.2,-1,0,0.2,-1,0,0.2,-1,0,0.2,0,-0.246,-0.7070435585374734,
